ai_episode_id,ai_seat,ai_label,ai_start_ms,ai_end_ms,match_status
b748c6c2-f920-4a6c-87b6-a02486a41d6c,SEAT-ROOM-CALIB-01-13,HEAD_TURN_RIGHT,8733.333333333334,13000.000000000002,FP
c5979140-75b1-462d-a62a-f221a3464d29,SEAT-ROOM-CALIB-01-08,HEAD_TURN_RIGHT,9900.0,13300.000000000002,FP
0e698680-98e5-4538-84f6-0a89f682314d,SEAT-ROOM-CALIB-01-21,HEAD_TURN_LEFT,5933.333333333334,13333.333333333334,FP
7ad98dad-28e2-4515-acaa-1efc1f2446e6,SEAT-ROOM-CALIB-01-03,HEAD_TURN_LEFT,9066.666666666668,13433.333333333334,FP
96764dc2-c584-4097-bb09-24c466021ad6,SEAT-ROOM-CALIB-01-12,HEAD_TURN_LEFT,13866.666666666668,15033.333333333334,FP
a16bb5a9-1e09-4c51-ad7a-239ee3a6c8f6,SEAT-ROOM-CALIB-01-07,HEAD_TURN_LEFT,11466.666666666668,15666.666666666668,FP
eaa89868-fd46-4241-931e-612dd7b9e41d,SEAT-ROOM-CALIB-01-03,HEAD_TURN_LEFT,13466.666666666668,15833.333333333334,FP
ba63655a-5704-47fe-bc95-8ba57af885c4,SEAT-ROOM-CALIB-01-03,HEAD_TURN_RIGHT,15466.666666666668,16633.333333333336,FP
3cfe3abe-a5eb-443d-a2be-17b193ddcd27,SEAT-ROOM-CALIB-01-07,HEAD_TURN_LEFT,16066.666666666668,17433.333333333336,FP
36a5c8a5-6f34-43f3-bb02-f0ae5ab135a8,SEAT-ROOM-CALIB-01-08,HEAD_TURN_LEFT,16500.0,17533.333333333336,FP
a19d6f40-678e-4fee-a8ff-ce37d5875f6d,SEAT-ROOM-CALIB-01-10,HEAD_TURN_LEFT,14966.666666666668,16300.000000000002,FP
afead15e-1f2c-43df-a6ad-81015614182c,SEAT-ROOM-CALIB-01-06,HEAD_TURN_LEFT,10666.666666666668,17733.333333333336,FP
0b09c836-7585-452a-8d70-af98ae5a58b8,SEAT-ROOM-CALIB-01-12,HEAD_TURN_LEFT,15466.666666666668,17833.333333333336,FP
ca0882c2-044b-48e2-9695-6ce70a6d3e1c,SEAT-ROOM-CALIB-01-13,HEAD_TURN_LEFT,15300.000000000002,16566.666666666668,FP
30be2dac-3434-4885-85c1-73295bfc48fa,SEAT-ROOM-CALIB-01-05,HEAD_TURN_RIGHT,15466.666666666668,16700.0,FP
bb27d1f6-181e-461a-96e6-898e72268fe1,SEAT-ROOM-CALIB-01-03,HEAD_TURN_LEFT,17066.666666666668,18033.333333333336,FP
8294aceb-49ac-4240-b51d-83e6c8a49cba,SEAT-ROOM-CALIB-01-09,HEAD_TURN_RIGHT,17800.0,18600.0,FP
46d6f6f3-684f-42cc-b615-c20d2d478dcf,SEAT-ROOM-CALIB-01-03,HEAD_TURN_RIGHT,17666.666666666668,18633.333333333336,FP
bef4ebbc-fe32-4ecb-881b-1e94ea8e96f9,SEAT-ROOM-CALIB-01-21,HEAD_TURN_LEFT,14566.666666666668,18666.666666666668,FP
8ca09a0b-fa70-4983-b9e7-7dc3122428d5,SEAT-ROOM-CALIB-01-09,HEAD_TURN_LEFT,18633.333333333336,19866.666666666668,FP
809bc72f-3969-4924-ade0-38f8367505a0,SEAT-ROOM-CALIB-01-17,HEAD_TURN_LEFT,14433.333333333334,19033.333333333336,FP
5e5582c8-fa01-45a8-b80f-c8e12455f2d0,SEAT-ROOM-CALIB-01-18,HEAD_TURN_RIGHT,14433.333333333334,19233.333333333336,FP
6c67d2ab-d018-43fb-9bc5-5425fdebdf41,SEAT-ROOM-CALIB-01-06,HEAD_TURN_RIGHT,18366.666666666668,20533.333333333336,FP
44a75b1a-132e-4fcd-adea-d7dfd8a2e02d,SEAT-ROOM-CALIB-01-09,HEAD_TURN_RIGHT,19500.0,20066.666666666668,FP
4e8c5420-7e76-4897-9f51-9edf6d96e9b1,SEAT-ROOM-CALIB-01-21,HEAD_TURN_LEFT,19266.666666666668,22033.333333333336,FP
91cc4971-3efa-4425-a1f8-13ed875dd2fd,SEAT-ROOM-CALIB-01-08,HEAD_TURN_RIGHT,17633.333333333336,22066.666666666668,FP
95e647bc-ea67-432d-91a0-11bd6ee8f7fc,SEAT-ROOM-CALIB-01-07,HEAD_TURN_LEFT,21966.666666666668,23000.0,FP
ada8baa2-652a-4287-afeb-0618631e2a4b,SEAT-ROOM-CALIB-01-21,HEAD_TURN_RIGHT,21866.666666666668,23166.666666666668,FP
0435a7e8-367f-4521-a3ba-cadafa1d2bf1,SEAT-ROOM-CALIB-01-12,HEAD_TURN_LEFT,21866.666666666668,23433.333333333336,FP
fee8568f-ad2c-4a9a-aae2-c9f45111a24c,SEAT-ROOM-CALIB-01-06,HEAD_TURN_RIGHT,22366.666666666668,24133.333333333336,FP
5310be5f-46a7-4c97-8ceb-b10c2f8cf6c0,SEAT-ROOM-CALIB-01-12,HEAD_TURN_LEFT,24066.666666666668,25433.333333333336,FP
8e3a39e8-a23d-450a-b4d8-af48659e6616,SEAT-ROOM-CALIB-01-13,HEAD_TURN_LEFT,21366.666666666668,24433.333333333336,FP
64b85b7b-a3a4-4b6d-bf34-4680c1d0d527,SEAT-ROOM-CALIB-01-03,HEAD_TURN_RIGHT,22466.666666666668,26233.333333333336,FP
a774f51a-6841-467e-9adf-db86dd8a4acb,SEAT-ROOM-CALIB-01-05,HEAD_TURN_RIGHT,24433.333333333336,25033.333333333336,FP
8dd14951-66ad-4c93-a38c-e68dfe0f238b,SEAT-ROOM-CALIB-01-16,HEAD_TURN_LEFT,25100.0,27500.000000000004,FP
7bc836aa-e684-4a13-9ea0-5492ef68d8ba,SEAT-ROOM-CALIB-01-18,HEAD_TURN_RIGHT,22300.0,27833.333333333336,FP
9816ee78-82b7-439a-885a-2387984aa822,SEAT-ROOM-CALIB-01-21,HEAD_TURN_RIGHT,24200.0,27900.000000000004,FP
6176ce29-3710-48ad-9de8-7ceeb15cf72c,SEAT-ROOM-CALIB-01-17,HEAD_TURN_LEFT,25466.666666666668,26666.666666666668,FP
a06c89e3-9884-4664-a309-3d2f9846ed49,SEAT-ROOM-CALIB-01-12,HEAD_TURN_RIGHT,27266.666666666668,28233.333333333336,FP
622a6be0-93b0-45d2-9a53-da5d19b5423e,SEAT-ROOM-CALIB-01-13,HEAD_TURN_RIGHT,26666.666666666668,28266.666666666668,FP
e54a21e0-f624-485d-99da-fd352483e410,SEAT-ROOM-CALIB-01-03,HEAD_TURN_RIGHT,26266.666666666668,29033.333333333336,FP
00ce36f3-e988-46da-af54-8b181e5a533b,SEAT-ROOM-CALIB-01-09,HEAD_TURN_RIGHT,27266.666666666668,29633.333333333336,FP
62d04423-7424-4e65-ada0-4a29579cab6c,SEAT-ROOM-CALIB-01-20,HEAD_TURN_RIGHT,4700.0,28700.000000000004,FP
a97e9342-2af0-411f-a834-4c83969e4eae,SEAT-ROOM-CALIB-01-05,HEAD_TURN_LEFT,28533.333333333336,29133.333333333336,FP
fd1cb47d-5cdb-478a-bb85-e706151c0706,SEAT-ROOM-CALIB-01-18,HEAD_TURN_RIGHT,28266.666666666668,31266.666666666668,FP
75266d4d-00c2-48eb-8b46-883542d5e5ef,SEAT-ROOM-CALIB-01-17,HEAD_TURN_LEFT,28833.333333333336,31466.666666666668,FP
1bf1be16-09bf-47e6-9e6d-0947ea1dc110,SEAT-ROOM-CALIB-01-07,HEAD_TURN_LEFT,26166.666666666668,30266.666666666668,FP
5fe9b06f-1d2b-47e4-96ea-d6af02c6cb36,SEAT-ROOM-CALIB-01-06,HEAD_TURN_LEFT,26533.333333333336,31733.333333333336,FP
386267ba-0877-4ef7-80f6-d4cc95359d19,SEAT-ROOM-CALIB-01-16,HEAD_TURN_LEFT,28200.000000000004,31933.333333333336,FP
b706f166-bad3-47fe-8509-a6f9531ab549,SEAT-ROOM-CALIB-01-09,HEAD_TURN_LEFT,30933.333333333336,32133.333333333336,FP
92d8defc-22bf-4372-9519-d1467f68330c,SEAT-ROOM-CALIB-01-21,HEAD_TURN_LEFT,31266.666666666668,32200.000000000004,FP
374807a7-74e4-4eb8-bf7d-0fbb32f4de83,SEAT-ROOM-CALIB-01-12,HEAD_TURN_LEFT,29666.666666666668,32233.333333333336,FP
bbad7a53-33ea-405c-b7b1-fe0a40c54fcc,SEAT-ROOM-CALIB-01-10,HEAD_TURN_RIGHT,30233.333333333336,31333.333333333336,FP
412a02d7-1cc1-4838-8c94-20f08695d612,SEAT-ROOM-CALIB-01-09,HEAD_TURN_RIGHT,31766.666666666668,32333.333333333336,FP
b345d293-27c8-438e-b2b4-b9b03e698c00,SEAT-ROOM-CALIB-01-21,HEAD_TURN_RIGHT,32066.666666666668,33900.0,FP
cb3ad101-857f-487e-89f3-8c7986cf2e81,SEAT-ROOM-CALIB-01-05,HEAD_TURN_LEFT,31800.000000000004,34033.333333333336,FP
8bb51648-eb6d-4791-bbe4-d86110de1318,SEAT-ROOM-CALIB-01-20,HEAD_TURN_RIGHT,30400.000000000004,34266.66666666667,FP
